dataset,split,label,filename,relative_path,extension,duration_sec,fps,width,height,codec,nb_frames,size_mb,bitrate_kbps,error
RWF_2000,train,Violence,Train_Fight_101.avi,RWF_2000/train/Train_Fight/Train_Fight_101.avi,.avi,5.0,30.0,480,360,mjpeg,150,3.23,5411.3,
RWF_2000,train,Violence,Train_Fight_105.avi,RWF_2000/train/Train_Fight/Train_Fight_105.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.3,2175.1,
RWF_2000,train,Violence,Train_Fight_107.avi,RWF_2000/train/Train_Fight/Train_Fight_107.avi,.avi,5.0,30.0,428,240,mjpeg,150,3.07,5147.9,
RWF_2000,train,Violence,Train_Fight_112.avi,RWF_2000/train/Train_Fight/Train_Fight_112.avi,.avi,5.0,30.0,352,288,mjpeg,150,2.31,3882.3,
RWF_2000,train,Violence,Train_Fight_113.avi,RWF_2000/train/Train_Fight/Train_Fight_113.avi,.avi,5.0,30.0,398,224,mjpeg,150,2.23,3743.6,
RWF_2000,train,Violence,Train_Fight_118.avi,RWF_2000/train/Train_Fight/Train_Fight_118.avi,.avi,5.0,30.0,1280,720,mjpeg,150,14.52,24352.9,
RWF_2000,train,Violence,Train_Fight_119.avi,RWF_2000/train/Train_Fight/Train_Fight_119.avi,.avi,5.0,30.0,480,360,mjpeg,150,3.8,6377.5,
RWF_2000,train,Violence,Train_Fight_125.avi,RWF_2000/train/Train_Fight/Train_Fight_125.avi,.avi,5.0,30.0,352,288,mjpeg,150,2.32,3886.2,
RWF_2000,train,Violence,Train_Fight_127.avi,RWF_2000/train/Train_Fight/Train_Fight_127.avi,.avi,5.0,30.0,428,240,mjpeg,150,2.7,4526.0,
RWF_2000,train,Violence,Train_Fight_133.avi,RWF_2000/train/Train_Fight/Train_Fight_133.avi,.avi,5.0,30.0,398,224,mjpeg,150,1.78,2985.8,
RWF_2000,train,Violence,Train_Fight_150.avi,RWF_2000/train/Train_Fight/Train_Fight_150.avi,.avi,5.0,30.0,640,360,mjpeg,150,2.27,3812.3,
RWF_2000,train,Violence,Train_Fight_152.avi,RWF_2000/train/Train_Fight/Train_Fight_152.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.28,2148.0,
RWF_2000,train,Violence,Train_Fight_153.avi,RWF_2000/train/Train_Fight/Train_Fight_153.avi,.avi,5.0,30.0,1280,720,mjpeg,150,9.23,15488.0,
RWF_2000,train,Violence,Train_Fight_173.avi,RWF_2000/train/Train_Fight/Train_Fight_173.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.92,3229.2,
RWF_2000,train,Violence,Train_Fight_178.avi,RWF_2000/train/Train_Fight/Train_Fight_178.avi,.avi,5.0,30.0,320,240,mjpeg,150,2.09,3511.8,
RWF_2000,train,Violence,Train_Fight_179.avi,RWF_2000/train/Train_Fight/Train_Fight_179.avi,.avi,5.0,30.0,426,240,mjpeg,150,1.72,2880.2,
RWF_2000,train,Violence,Train_Fight_181.avi,RWF_2000/train/Train_Fight/Train_Fight_181.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.87,3140.4,
RWF_2000,train,Violence,Train_Fight_187.avi,RWF_2000/train/Train_Fight/Train_Fight_187.avi,.avi,5.0,30.0,480,360,mjpeg,150,4.0,6707.6,
RWF_2000,train,Violence,Train_Fight_188.avi,RWF_2000/train/Train_Fight/Train_Fight_188.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.79,3003.1,
RWF_2000,train,Violence,Train_Fight_192.avi,RWF_2000/train/Train_Fight/Train_Fight_192.avi,.avi,5.0,30.0,480,360,mjpeg,150,2.76,4634.5,
RWF_2000,train,Violence,Train_Fight_198.avi,RWF_2000/train/Train_Fight/Train_Fight_198.avi,.avi,5.0,30.0,1280,720,mjpeg,150,4.91,8242.4,
RWF_2000,train,Violence,Train_Fight_204.avi,RWF_2000/train/Train_Fight/Train_Fight_204.avi,.avi,5.0,30.0,1280,720,mjpeg,150,9.49,15927.7,
RWF_2000,train,Violence,Train_Fight_207.avi,RWF_2000/train/Train_Fight/Train_Fight_207.avi,.avi,5.0,30.0,1280,720,mjpeg,150,14.58,24467.0,
RWF_2000,train,Violence,Train_Fight_208.avi,RWF_2000/train/Train_Fight/Train_Fight_208.avi,.avi,5.0,30.0,1280,720,mjpeg,150,15.68,26302.4,
RWF_2000,train,Violence,Train_Fight_210.avi,RWF_2000/train/Train_Fight/Train_Fight_210.avi,.avi,5.0,30.0,568,320,mjpeg,150,4.0,6717.1,
RWF_2000,train,Violence,Train_Fight_213.avi,RWF_2000/train/Train_Fight/Train_Fight_213.avi,.avi,5.0,30.0,1920,1080,mjpeg,150,24.3,40772.8,
RWF_2000,train,Violence,Train_Fight_214.avi,RWF_2000/train/Train_Fight/Train_Fight_214.avi,.avi,5.0,30.0,1280,720,mjpeg,150,7.25,12165.9,
RWF_2000,train,Violence,Train_Fight_220.avi,RWF_2000/train/Train_Fight/Train_Fight_220.avi,.avi,5.0,30.0,640,360,mjpeg,150,6.33,10616.4,
RWF_2000,train,Violence,Train_Fight_226.avi,RWF_2000/train/Train_Fight/Train_Fight_226.avi,.avi,5.0,30.0,1280,720,mjpeg,150,7.67,12864.5,
RWF_2000,train,Violence,Train_Fight_232.avi,RWF_2000/train/Train_Fight/Train_Fight_232.avi,.avi,5.0,30.0,640,360,mjpeg,150,5.55,9306.0,
RWF_2000,train,Violence,Train_Fight_235.avi,RWF_2000/train/Train_Fight/Train_Fight_235.avi,.avi,5.0,30.0,640,360,mjpeg,150,2.3,3861.6,
RWF_2000,train,Violence,Train_Fight_236.avi,RWF_2000/train/Train_Fight/Train_Fight_236.avi,.avi,5.0,30.0,640,360,mjpeg,150,2.64,4437.2,
RWF_2000,train,Violence,Train_Fight_238.avi,RWF_2000/train/Train_Fight/Train_Fight_238.avi,.avi,5.0,30.0,368,276,mjpeg,150,6.04,10130.6,
RWF_2000,train,Violence,Train_Fight_245.avi,RWF_2000/train/Train_Fight/Train_Fight_245.avi,.avi,5.0,30.0,320,240,mjpeg,150,2.1,3530.0,
RWF_2000,train,Violence,Train_Fight_257.avi,RWF_2000/train/Train_Fight/Train_Fight_257.avi,.avi,5.0,30.0,320,240,mjpeg,150,3.51,5885.9,
RWF_2000,train,Violence,Train_Fight_261.avi,RWF_2000/train/Train_Fight/Train_Fight_261.avi,.avi,5.0,30.0,640,360,mjpeg,150,3.26,5468.6,
RWF_2000,train,Violence,Train_Fight_270.avi,RWF_2000/train/Train_Fight/Train_Fight_270.avi,.avi,5.0,30.0,640,360,mjpeg,150,4.13,6932.2,
RWF_2000,train,Violence,Train_Fight_272.avi,RWF_2000/train/Train_Fight/Train_Fight_272.avi,.avi,5.0,30.0,640,360,mjpeg,150,5.32,8931.4,
RWF_2000,train,Violence,Train_Fight_277.avi,RWF_2000/train/Train_Fight/Train_Fight_277.avi,.avi,5.0,30.0,400,224,mjpeg,150,5.09,8536.9,
RWF_2000,train,Violence,Train_Fight_279.avi,RWF_2000/train/Train_Fight/Train_Fight_279.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.38,2308.9,
RWF_2000,train,Violence,Train_Fight_280.avi,RWF_2000/train/Train_Fight/Train_Fight_280.avi,.avi,5.0,30.0,320,240,mjpeg,150,1.17,1963.3,
RWF_2000,train,Violence,Train_Fight_284.avi,RWF_2000/train/Train_Fight/Train_Fight_284.avi,.avi,5.0,30.0,320,240,mjpeg,150,2.23,3743.9,
RWF_2000,train,Violence,Train_Fight_286.avi,RWF_2000/train/Train_Fight/Train_Fight_286.avi,.avi,5.0,30.0,1280,720,mjpeg,150,11.2,18783.6,
RWF_2000,train,Violence,Train_Fight_287.avi,RWF_2000/train/Train_Fight/Train_Fight_287.avi,.avi,5.0,30.0,480,360,mjpeg,150,4.14,6937.9,
